episode_id,euphemism_gradient,cta_depth,future_framing,note
829fbb05a68c494a9c29c05eb4c65909,1,0,false,
39d43998216a4a31af4b83f443fcbe8a,1,0,false,
0bd84c291e3a48f286c88b0869445699,0,0,false,no-termination-disposition
2d0d16d73b454bf884485a6f81554d3b,1,0,false,
63f231223ec344c3af70e9f12e7e8e03,0,0,false,no-termination-disposition
aa68534cb1b5408daf8fa9dec7ad1221,0,0,false,no-termination-disposition
ab6b1fcec64745bcb2a9984a570986b8,0,0,false,no-termination-disposition
1597a3f90d5f41c6b06b8e92fa9c6b34,0,0,false,no-termination-disposition
2542c40f71574971b14bebc63c80441c,1,0,false,
925a21448d2f41f09cad78ce1e6dbf7d,0,0,false,no-termination-disposition
6a1d718218824aa987ba4aca6307509a,0,0,false,no-termination-disposition
f60572abc3f8416e94620aaf4de2d77a,1,0,false,
8f516ece528f49c1a5967884fac77b78,0,0,false,no-termination-disposition
2a644ea337ea473aa677bdeeeb8b3771,1,0,false,
872fe595d94f4c488ba2a8cc305fb047,0,0,false,no-termination-disposition
30ff02d8ce2645509a83c8f7efc41a8f,0,0,false,no-termination-disposition
4c70e5f7ed0c47848c21cf4bc1fe437e,0,0,false,no-termination-disposition
4ae3cdbf54474407b7a8a29851aece55,0,0,false,no-termination-disposition
f1a7e92a2bbb4dcfb6f549078126d1da,1,0,false,
3f4066e759a74b44a94617bc8189ef42,0,0,false,no-termination-disposition
a2769956bd1e4d07b6c32ccfd88e39cf,2,0,false,
02e0d7489e694f53a54226e814c9b133,1,0,false,
f7f31dbcc25b478896840d79684cbefb,1,0,false,
8e7ade0943e949a5856fb98238b254a3,1,0,false,
8f81370c4d2846e2bd7791b1d241cd0b,1,0,false,
af2434e39c824e0eb91625918b757ab8,1,0,false,
2f948b8369084a06a9753c7ab7b054ce,0,0,false,no-termination-disposition
da643d8c242445709be66c3e524d0b59,0,0,false,no-termination-disposition
e6e9ac5108134ad7a1f8ceb0ae5069ca,1,0,false,
20df4aee6bb84adb9310e86093f69c23,0,0,false,no-termination-disposition
758e140638fc4d69bec1d616c2b9b6a5,1,0,false,
facf3b8cdf7b4da5b54b001b059d0669,0,0,false,no-termination-disposition
fd1943b49c2f450c96a7adfbaee50567,1,0,false,
415ea6cabe84442c965364db7e74181c,0,0,false,no-termination-disposition
e74e5d10ebad4490bf555ef6a40db0c3,1,0,false,
