episode_id,euphemism_gradient,cta_depth,future_framing,note
39d43998216a4a31af4b83f443fcbe8a,1,0,false,
aa68534cb1b5408daf8fa9dec7ad1221,0,0,false,no-termination-disposition
925a21448d2f41f09cad78ce1e6dbf7d,0,0,false,no-termination-disposition
872fe595d94f4c488ba2a8cc305fb047,0,0,false,no-termination-disposition
3f4066e759a74b44a94617bc8189ef42,0,0,false,no-termination-disposition
8e7ade0943e949a5856fb98238b254a3,1,0,false,
da643d8c242445709be66c3e524d0b59,0,0,false,no-termination-disposition
facf3b8cdf7b4da5b54b001b059d0669,0,0,false,no-termination-disposition
a7a368a630a14312ba4e6a197d429d0a,0,0,false,no-termination-disposition
dfc08a44fbf9424da8877ef2cc3744f0,0,0,false,no-termination-disposition
17ddaa50db9c42c2b1517b4ba505f974,1,0,false,
9b3e2fbdd5a74d949ca23df1e5014a46,1,0,false,
151dc506f81742f6ad34857a78a8eba4,0,0,false,no-termination-disposition
2acbd6ee6cec47ae8307cf4f540071b9,0,0,false,no-termination-disposition
5e0607fed6fa488bac57e743884dd296,1,0,false,
9af6af907d724340a09a25e007061143,1,0,false,
4f27ffa79a144fe3962d3b0346776303,0,0,false,no-termination-disposition
c69bb90268294feca65525cbaa8af89d,0,0,false,no-termination-disposition
fd78deea20e641b3bb1a8005da85ff6b,0,0,false,no-termination-disposition
b0f90ab829d24a36a0d3a72ab0bfaeea,0,0,false,no-termination-disposition
0c431929593b4b32b3b55a424351d6d5,1,0,false,
fde9010d03c74f3591fa0df43b1064a3,0,0,false,no-termination-disposition
ae6a40cb45c3470dbc675ee05856950c,1,0,false,
7c0223196a824e53928e436777e945a1,1,0,false,
dd2201deddf645e98ae5829ce60913fa,0,0,false,no-termination-disposition
adbc5fd62d6c4a67acae23bf0337c0e1,2,0,false,
42b20a75ae174b4aa182adf1ad9ec233,1,0,false,
ab9a4881f33e4d92bc3342c8440d42e8,1,0,false,
25fba4c806044e7584da0ad86deb1b29,1,0,false,
8384f7d9520742c79674c97a2d10a432,1,0,false,
0e5d9173319d4b579637aedb7b07c699,0,0,false,no-termination-disposition
87f7ad1257d14b33935081eaa9d39d7e,0,0,false,no-termination-disposition
0cea6c255b4b4edd89af35967542ef64,0,0,false,no-termination-disposition
0aa61cbe787b4f5684a7c6cd8ebedfc0,0,0,false,no-termination-disposition
f67a7e4586fe40d0823b0a0258059ae0,1,0,false,
7303e89e8fe8465883bab78d5485d4d0,0,0,false,no-termination-disposition
6cd4111afa8f44c4b774adefd6fb04fb,1,0,false,
b8ff5ca5288947b98b71c1e3b3abb098,1,0,false,
11271418b88d44eca25122cff672d6b9,1,0,false,
0a5ae1b89ea043b7a59a5f5ee984bee3,0,0,false,no-termination-disposition
87999e304ab044ddb15a769485d74758,1,0,false,
345a83af9fbc4b5ab0769547489a0d13,0,0,false,no-termination-disposition
73f0e79d27c64d28adbd4e94b2e88b65,0,0,false,no-termination-disposition
09f4088977ae4a5aaed2038aedccf1e8,0,0,false,no-termination-disposition
1c4af47cd50248449ed57aedfde0c753,0,0,false,no-termination-disposition
372fee0df45243db864156806e9de66a,0,0,false,no-termination-disposition
52c640ad7272472fb4718f85a43256e7,0,0,false,no-termination-disposition
dd5915da4a054626b5e1e0be71519605,0,0,false,no-termination-disposition
5be728892b74439eb673857b0a8cec1c,0,0,false,no-termination-disposition
0e8e800b885d414d9fd125617e641a9a,0,0,false,no-termination-disposition
9b6cdf6a63c04cef8395c9a3c03509ce,0,0,false,no-termination-disposition
30d81ff4801c4dab8e73eedfddddc33f,1,0,false,
5c2ceaee854340abab4dc3c6ff4e0133,0,0,false,no-termination-disposition
4e42ba2143db40669cca314e2c514dac,1,0,false,
108c6067669d4ce39fa822fef98039df,0,0,false,no-termination-disposition
8d3908fa85744365a7a2b81bd97b8404,1,0,false,
0bd3d0eb0249408c8864d985d24a0631,1,0,false,
cd27af49061c486b97a5dcb6dbcfbc2e,0,0,false,no-termination-disposition
01b459e4d96e460893945969e36e48df,0,0,false,no-termination-disposition
3273f3403c6140eba17f68571bb4ff1d,1,0,false,
4814a76470e545dba44c48e7ebdc009f,2,0,false,
b2791c7aff2a43f2a4fa5f296dd5864e,1,0,false,
2b0654a15d2e42629ce820ed30a82f96,0,0,false,no-termination-disposition
695b16c4fba64a648a3b54c177ab450d,0,0,false,no-termination-disposition
4d98f461b4b2470e9304c653c23f9d8f,1,0,false,
0fa2826ce3d5486bb86c1b1145cd6d9d,1,0,false,
ff0111f11f7849e1b2c3673af0d1056f,1,0,false,
a422db15cd5f4a4e9235cfb3b48cfd8d,0,0,false,no-termination-disposition
55482fe4552249e1a49be323b515a3f3,1,0,false,
99692f2c6d4548a2a3e584c79f148c0b,0,0,false,no-termination-disposition
44a569c5651d42ceae21590d5a03d3a4,0,0,false,no-termination-disposition
8aa55bafa2c841609bd620519c3cb09d,0,0,false,no-termination-disposition
